year,milestone,professional_roles_estimate,tools_available,experience_claims_validity
1973,Xerox Alto GUI,0,0,0
1984,Apple Macintosh,5,1,0
1988,Don Norman's Book,20,1,0
1990,Nielsen Heuristics,50,2,5
1993,UX Term Coined,100,3,15
1995,First UX Consultancy,500,5,25
2000,UX Job Roles Emerge,2000,10,35
2007,iPhone/Mobile UX,10000,15,45
2010,Sketch Tool Launch,50000,25,55
2014,Google Material Design,100000,40,65
2016,Figma Collaboration,200000,60,75
2020,UX Industry Maturity,500000,100,85
2025,Current Year,800000,150,95
